case	source_key	title	locator	local_filename	expected_sha256	corpus_present	included_in_submission	redistribution_status	licence_or_basis	evidence_for_status	acquisition_command_or_instructions	verification_mode	notes
eggs_cholesterol	godos_2021	Egg consumption and cardiovascular risk: a dose–response meta-analysis of prospective cohort studies	10.1007/s00394-020-02345-7	literature/godos_2021.html		no	no	restricted	closed-access publisher default; per-article open licence not established	DOI registrant 10.1007 = Springer	https://doi.org/10.1007/s00394-020-02345-7	attested	source bytes not on disk (git-ignored)
eggs_cholesterol	goldberg_2014	Egg consumption and carotid atherosclerosis in the Northern Manhattan Study	10.1016/j.atherosclerosis.2014.04.019	literature/goldberg_2014.html		no	no	restricted	closed-access publisher default; per-article open licence not established	DOI registrant 10.1016 = Elsevier	https://doi.org/10.1016/j.atherosclerosis.2014.04.019	attested	source bytes not on disk (git-ignored)
eggs_cholesterol	key_2019	Consumption of Meat, Fish, Dairy Products, and Eggs and Risk of Ischemic Heart Disease (EPIC)	10.1161/CIRCULATIONAHA.118.038813	literature/key_2019.html		no	no	restricted	closed-access publisher default; per-article open licence not established	DOI registrant 10.1161 = AHA journals	https://doi.org/10.1161/CIRCULATIONAHA.118.038813	attested	source bytes not on disk (git-ignored)
eggs_cholesterol	qin_2018	Associations of egg consumption with cardiovascular disease in a cohort study of 0.5 million Chinese adults (China Kadoorie Biobank)	10.1136/heartjnl-2017-312651	literature/qin_2018.html		no	no	restricted	closed-access default; the BMJ Open subset is CC-BY but this item's licence is not established	DOI registrant 10.1136 = BMJ	https://doi.org/10.1136/heartjnl-2017-312651	attested	source bytes not on disk (git-ignored)
eggs_cholesterol	rong_2013	Egg consumption and risk of coronary heart disease and stroke: dose-response meta-analysis of prospective cohort studies	10.1136/bmj.e8539	literature/rong_2013.html		no	no	restricted	closed-access default; the BMJ Open subset is CC-BY but this item's licence is not established	DOI registrant 10.1136 = BMJ	https://doi.org/10.1136/bmj.e8539	attested	source bytes not on disk (git-ignored)
eggs_cholesterol	sun_2021	Egg Consumption and Risk of Cardiovascular Disease: Findings From the Women's Health Initiative	10.1161/JAHA.119.015553	literature/sun_2021.html		no	no	restricted	closed-access publisher default; per-article open licence not established	DOI registrant 10.1161 = AHA journals	https://doi.org/10.1161/JAHA.119.015553	attested	source bytes not on disk (git-ignored)
eggs_cholesterol	xia_2020	Egg consumption and risk of all-cause and cause-specific mortality: NHANES	10.1161/JAHA.119.015743	literature/xia_2020.html		no	no	restricted	closed-access publisher default; per-article open licence not established	DOI registrant 10.1161 = AHA journals	https://doi.org/10.1161/JAHA.119.015743	attested	source bytes not on disk (git-ignored)
eggs_cholesterol	zhao_2022	Associations of Dietary Cholesterol, Serum Cholesterol, and Egg Consumption With Overall and Cause-Specific Mortality: Systematic Review and Updated Meta-Analysis	10.1161/CIRCULATIONAHA.121.057642	literature/zhao_2022.html		no	no	restricted	closed-access publisher default; per-article open licence not established	DOI registrant 10.1161 = AHA journals	https://doi.org/10.1161/CIRCULATIONAHA.121.057642	attested	source bytes not on disk (git-ignored)
eggs_cholesterol	zhong_2019	Associations of Dietary Cholesterol or Egg Consumption With Incident Cardiovascular Disease and Mortality	10.1001/jama.2019.1572	literature/zhong_2019.html		no	no	restricted	closed-access publisher default; per-article open licence not established	DOI registrant 10.1001 = JAMA Network	https://doi.org/10.1001/jama.2019.1572	attested	source bytes not on disk (git-ignored)
eggs_cholesterol	zhong_2021	Associations of dietary cholesterol and egg consumption with cardiovascular disease and mortality: pooled US cohorts	10.1093/ije/dyaa205	literature/zhong_2021.html		no	no	restricted	closed-access publisher default; per-article open licence not established	DOI registrant 10.1093 = Oxford University Press	https://doi.org/10.1093/ije/dyaa205	attested	source bytes not on disk (git-ignored)
eggs_cholesterol	zhuang_2021	Egg and cholesterol consumption and mortality: the NIH-AARP Diet and Health Study	10.1371/journal.pmed.1003508	literature/zhuang_2021.html		no	no	permissive-licence	PLOS journals publish every article under CC-BY 4.0	DOI registrant 10.1371 = PLOS	https://doi.org/10.1371/journal.pmed.1003508	attested	source bytes not on disk (git-ignored)
lhc_safety	cern_faq	Will CERN generate a black hole?	https://home.cern/resources/faqs/will-cern-generate-black-hole	literature/cern_faq.html		no	no	unknown	no DOI or repository licence established	no DOI / pmcid in provenance	https://home.cern/resources/faqs/will-cern-generate-black-hole	attested	source bytes not on disk (git-ignored)
lhc_safety	giddings_2008	Astrophysical implications of hypothetical stable TeV-scale black holes	10.1103/PhysRevD.78.035009	literature/giddings_2008.pdf		no	no	restricted	closed-access publisher default; per-article open licence not established	DOI registrant 10.1103 = APS	https://doi.org/10.1103/PhysRevD.78.035009	attested	source bytes not on disk (git-ignored)
lhc_safety	giddings_reply_2008	Comments on claimed risk from metastable black holes	https://arxiv.org/abs/0808.4087	literature/giddings_reply_2008.pdf		no	no	unknown	no DOI or repository licence established	no DOI / pmcid in provenance	https://arxiv.org/abs/0808.4087	attested	source bytes not on disk (git-ignored)
lhc_safety	koch_2009	Exclusion of black hole disaster scenarios at the LHC	10.1016/j.physletb.2008.11.057	literature/koch_2009.pdf		no	no	restricted	closed-access publisher default; per-article open licence not established	DOI registrant 10.1016 = Elsevier	https://doi.org/10.1016/j.physletb.2008.11.057	attested	source bytes not on disk (git-ignored)
lhc_safety	la602_1946	Ignition of the Atmosphere with Nuclear Bombs (LA-602)	https://blog.nuclearsecrecy.com/wp-content/uploads/2018/06/1946-LA-602-Konopinski-Marvin-Teller-Ignition-fo-the-Atmsophere.pdf	literature/la602_1946.pdf		no	no	unknown	no DOI or repository licence established	no DOI / pmcid in provenance	https://blog.nuclearsecrecy.com/wp-content/uploads/2018/06/1946-LA-602-Konopinski-Marvin-Teller-Ignition-fo-the-Atmsophere.pdf	attested	source bytes not on disk (git-ignored)
lhc_safety	lsag_2008	Review of the Safety of LHC Collisions	10.1088/0954-3899/35/11/115004	literature/lsag_2008.pdf		no	no	restricted	closed-access publisher default; per-article open licence not established	DOI registrant 10.1088 = IOP Publishing	https://doi.org/10.1088/0954-3899/35/11/115004	attested	source bytes not on disk (git-ignored)
lhc_safety	plaga_2008	On the potential catastrophic risk from metastable quantum-black holes produced at particle colliders	https://arxiv.org/abs/0808.1415	literature/plaga_2008.pdf		no	no	unknown	no DOI or repository licence established	no DOI / pmcid in provenance	https://arxiv.org/abs/0808.1415	attested	source bytes not on disk (git-ignored)
quantum_genomics	aaronson_2015	Quantum Machine Learning Algorithms: Read the Fine Print	10.1038/nphys3272	literature/aaronson_2015.pdf		no	no	restricted	closed-access publisher default; per-article open licence not established	DOI registrant 10.1038 = Springer Nature	https://doi.org/10.1038/nphys3272	attested	source bytes not on disk (git-ignored)
quantum_genomics	arute_2019	Quantum supremacy using a programmable superconducting processor	10.1038/s41586-019-1666-5	literature/arute_2019.pdf		no	no	restricted	closed-access publisher default; per-article open licence not established	DOI registrant 10.1038 = Springer Nature	https://doi.org/10.1038/s41586-019-1666-5	attested	source bytes not on disk (git-ignored)
quantum_genomics	babbush_2021	Focus beyond quadratic speedups for error-corrected quantum advantage	10.1103/PRXQuantum.2.010103	literature/babbush_2021.pdf		no	no	restricted	closed-access publisher default; per-article open licence not established	DOI registrant 10.1103 = APS	https://doi.org/10.1103/PRXQuantum.2.010103	attested	source bytes not on disk (git-ignored)
quantum_genomics	baek_2021	Accurate prediction of protein structures and interactions using a three-track neural network	10.1126/science.abj8754	literature/baek_2021.pdf		no	no	restricted	closed-access publisher default; per-article open licence not established	DOI registrant 10.1126 = AAAS (Science)	https://doi.org/10.1126/science.abj8754	attested	source bytes not on disk (git-ignored)
quantum_genomics	cerezo_2021	Cost Function Dependent Barren Plateaus in Shallow Parametrized Quantum Circuits	10.1038/s41467-021-21728-w	literature/cerezo_2021.pdf		no	no	restricted	closed-access publisher default; per-article open licence not established	DOI registrant 10.1038 = Springer Nature	https://doi.org/10.1038/s41467-021-21728-w	attested	source bytes not on disk (git-ignored)
quantum_genomics	chia_2020	Sampling-based sublinear low-rank matrix arithmetic framework for dequantizing quantum machine learning	10.1145/3549524	literature/chia_2020.pdf		no	no	restricted	closed-access publisher default; per-article open licence not established	DOI registrant 10.1145 = ACM	https://doi.org/10.1145/3549524	attested	source bytes not on disk (git-ignored)
quantum_genomics	gidney_2021	How to factor 2048 bit RSA integers in 8 hours using 20 million noisy qubits	10.22331/q-2021-04-15-433	literature/gidney_2021.html		no	no	permissive-licence	the journal Quantum publishes every article under CC-BY 4.0	DOI registrant 10.22331 = Quantum	https://doi.org/10.22331/q-2021-04-15-433	attested	source bytes not on disk (git-ignored)
quantum_genomics	harrow_2009	Quantum algorithm for linear systems of equations	10.1103/PhysRevLett.103.150502	literature/harrow_2009.pdf		no	no	restricted	closed-access publisher default; per-article open licence not established	DOI registrant 10.1103 = APS	https://doi.org/10.1103/PhysRevLett.103.150502	attested	source bytes not on disk (git-ignored)
quantum_genomics	jumper_2021	Highly accurate protein structure prediction with AlphaFold	10.1038/s41586-021-03819-2	literature/jumper_2021.pdf		no	no	restricted	closed-access publisher default; per-article open licence not established	DOI registrant 10.1038 = Springer Nature	https://doi.org/10.1038/s41586-021-03819-2	attested	source bytes not on disk (git-ignored)
quantum_genomics	maurizio_2025	Quantum computing for genomics: conceptual challenges and practical perspectives	10.1103/h49j-bsc6	literature/maurizio_2025.html		no	no	restricted	closed-access publisher default; per-article open licence not established	DOI registrant 10.1103 = APS	https://doi.org/10.1103/h49j-bsc6	attested	source bytes not on disk (git-ignored)
quantum_genomics	mosca_2018	Cybersecurity in an era with quantum computers: will we be ready?	10.1109/MSP.2018.3761723	literature/mosca_2018.pdf		no	no	restricted	closed-access publisher default; per-article open licence not established	DOI registrant 10.1109 = IEEE	https://doi.org/10.1109/MSP.2018.3761723	attested	source bytes not on disk (git-ignored)
quantum_genomics	nist_2024	FIPS 203 — Module-Lattice-Based Key-Encapsulation Mechanism Standard	10.6028/NIST.FIPS.203	literature/nist_2024.pdf		no	no	public-domain	NIST publications are US Government works (17 U.S.C. §105), public domain	DOI registrant 10.6028 = NIST	https://doi.org/10.6028/NIST.FIPS.203	attested	source bytes not on disk (git-ignored)
quantum_genomics	pednault_2019	Leveraging Secondary Storage to Simulate Deep 54-qubit Sycamore Circuits	10.48550/arXiv.1910.09534	literature/pednault_2019.pdf		no	no	unknown	arXiv's non-exclusive distribution licence does not by default permit third-party redistribution	DOI registrant 10.48550 = arXiv	https://doi.org/10.48550/arXiv.1910.09534	attested	source bytes not on disk (git-ignored)
quantum_genomics	preskill_2018	Quantum Computing in the NISQ era and beyond	10.22331/q-2018-08-06-79	literature/preskill_2018.pdf		no	no	permissive-licence	the journal Quantum publishes every article under CC-BY 4.0	DOI registrant 10.22331 = Quantum	https://doi.org/10.22331/q-2018-08-06-79	attested	source bytes not on disk (git-ignored)
quantum_genomics	reiher_2017	Elucidating Reaction Mechanisms on Quantum Computers	10.1073/pnas.1619152114	literature/reiher_2017.pdf		no	no	unknown	PNAS mixes open and closed access; per-article licence not established	DOI registrant 10.1073 = PNAS	https://doi.org/10.1073/pnas.1619152114	attested	source bytes not on disk (git-ignored)
quantum_genomics	shor_1997	Polynomial-Time Algorithms for Prime Factorization and Discrete Logarithms on a Quantum Computer	10.1137/S0097539795293172	literature/shor_1997.pdf		no	no	restricted	closed-access publisher default; per-article open licence not established	DOI registrant 10.1137 = SIAM	https://doi.org/10.1137/S0097539795293172	attested	source bytes not on disk (git-ignored)
quantum_genomics	tang_2019	A quantum-inspired classical algorithm for recommendation systems	10.1145/3313276.3316310	literature/tang_2019.pdf		no	no	restricted	closed-access publisher default; per-article open licence not established	DOI registrant 10.1145 = ACM	https://doi.org/10.1145/3313276.3316310	attested	source bytes not on disk (git-ignored)
covid_debate	alexander_2024	Practically-A-Book Review: Rootclaim $100,000 Lab Leak Debate	https://www.astralcodexten.com/p/practically-a-book-review-rootclaim	literature/alexander_2024.html		no	no	unknown	no DOI or repository licence established	no DOI / pmcid in provenance	https://www.astralcodexten.com/p/practically-a-book-review-rootclaim	attested	source bytes not on disk (git-ignored)
covid_debate	daniel	Daniel's Bayesian analysis of COVID origins	https://docs.google.com/document/d/1qzLC55jRfdS55oSqXJZTFItsvFsawWgNlgLxWqhCuyo/edit	literature/daniel.html		no	no	unknown	no DOI or repository licence established	no DOI / pmcid in provenance	https://docs.google.com/document/d/1qzLC55jRfdS55oSqXJZTFItsvFsawWgNlgLxWqhCuyo/edit	attested	source bytes not on disk (git-ignored)
covid_debate	goodjudgment	Superforecasting the Origins of the Covid-19 Pandemic — A Survey of Good Judgment's Superforecasters	https://goodjudgment.substack.com/p/superforecasting-the-origins-of-the	literature/goodjudgment.html		no	no	unknown	no DOI or repository licence established	no DOI / pmcid in provenance	https://goodjudgment.substack.com/p/superforecasting-the-origins-of-the	attested	source bytes not on disk (git-ignored)
covid_debate	stansifer	Rootclaim covid-19 origins debate: Final decision	https://drive.google.com/file/d/1aHlhPd-16EOabzXhiajT5PBm3uVCAG3T/view	literature/stansifer.pdf		no	no	unknown	no DOI or repository licence established	no DOI / pmcid in provenance	https://drive.google.com/file/d/1aHlhPd-16EOabzXhiajT5PBm3uVCAG3T/view	attested	source bytes not on disk (git-ignored)
covid_debate	van_treuren	Rootclaim covid-19 origins debate: judge's written decision	https://drive.google.com/file/d/1YhmkYB32RpGsXvQTsX4xZ0Yul1wiwh8Z/view	literature/van_treuren.pdf		no	no	unknown	no DOI or repository licence established	no DOI / pmcid in provenance	https://drive.google.com/file/d/1YhmkYB32RpGsXvQTsX4xZ0Yul1wiwh8Z/view	attested	source bytes not on disk (git-ignored)
covid_debate	weissman	An Inconvenient Probability v5.6 — Bayesian analysis of the probable origins of Covid	https://michaelweissman.substack.com/p/an-inconvenient-probability-v50	literature/weissman.html		no	no	unknown	no DOI or repository licence established	no DOI / pmcid in provenance	https://michaelweissman.substack.com/p/an-inconvenient-probability-v50	attested	source bytes not on disk (git-ignored)
